EY_PV_Serial_Number,Parent Facility,Grouped / Standalone,Site Type,"Site Name 
(English)",City,latitude,longitude,Site Status,Year of Construction
36,Standalone,Standalone,WATER TREATMENT PLANT (WTRP),Prince of Al-Madina District Palace,Al Madinah,24.29192,39.33589,Working,2012
39,1038,Grouped,WATER PUMPING STATION (WPUS),Quba Pumping Station,Al Madinah,24.431649,39.616015,Working,1980
40,1031,Grouped,WATER PUMPING STATION (WPUS),Al-Azizia Pumping Station,Al Madinah,24.466466,39.512363,Working,2007
41,41,Grouped,WATER PUMPING STATION (WPUS),Airport Pumping Station (1),Al Madinah,24.507049,39.657267,Standby,1978
42,42,Grouped,WATER PUMPING STATION (WPUS),Airport Pumping Station (2),Al Madinah,24.505501,39.659227,Standby,1993
43,936,Grouped,WATER PUMPING STATION (WPUS),Al Jurf Pumping Station,Al Madinah,24.519803,39.546464,Working,2002
44,Standalone,Standalone,WATER PUMPING STATION (WPUS),Wa'ira Pumping Station 3,Al Madinah,24.548245,39.685309,Working,2005
45,Standalone,Standalone,WATER PUMPING STATION (WPUS),Wa'ira Pumping Station 2,Al Madinah,24.524327,39.672628,Out of service,1996
46,Standalone,Standalone,WATER PUMPING STATION (WPUS),Wa'ira Pumping Station 4,Al Madinah,24.548245,39.685309,Working,2017
47,Standalone,Standalone,WATER PUMPING STATION (WPUS),Uhud Pumping Station,Al Madinah,24.504939,39.615093,Working,1995
48,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Haras Pumping Station,Al Madinah,24.546913,39.613042,Standby,1987
49,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Anabis Pumping Station ,Al Madinah,24.471408,39.58291,Standby,2010
50,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Ayoun Pumping Station,Al Madinah,24.535538,39.567393,Standby,2007
51,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Hajra Pumping Station,Al Madinah,24.414139,39.550848,Working,2000
52,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Jarf Pumping Substation,Al Madinah,24.512955,39.565362,Standby,1998
53,Standalone,Standalone,WATER PUMPING STATION (WPUS),Shaib Al- Aziziya Pumping Station,Al Madinah,24.466406,39.512341,Working,2007
54,Standalone,Standalone,WATER PUMPING STATION (WPUS),Social Affairs Pumping Station,Al Madinah,24.468306,39.596628,Working,1991
55,Standalone,Standalone,WATER PUMPING STATION (WPUS),Abu Brega Pumping Station,Al Madinah,24.41794,39.564149,Working,2011
77,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Badrani Pumping Station,Al Madinah,24.445485,39.676825,Working,1999
78,Standalone,Standalone,WATER PUMPING STATION (WPUS),Sultana Pumping Station,Al Madinah,24.484423,39.573946,Standby,1995
79,79,Grouped,WATER PUMPING STATION (WPUS),Pilgrims Pumping Station,Al Madinah,24.470476,39.542022,Working,1982
80,Standalone,Standalone,WATER PUMPING STATION (WPUS),Baqdu Pumping Station,Al Madinah,24.471783,39.66425,Standby,2015
81,Standalone,Standalone,WATER PUMPING STATION (WPUS),Wa'ira Pumping Station 1,Al Madinah,24.531347,39.68128,Working,1998
82,Standalone,Standalone,WATER PUMPING STATION (WPUS),Talaa Al-Haboub Pumpimg Station,Al Madinah,24.500977,39.6465,Working,2005
83,Standalone,Standalone,WATER PUMPING STATION (WPUS),Martyrs Pumping Station,Al Madinah,24.504982,39.608154,Working,2005
84,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Duitha Pumping Station,Al Madinah,24.417711,39.511673,Working,2005
85,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Rabwa Pumping Station,Al Madinah,24.519125,39.562962,Standby,1984
86,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Faisalia Pumping Station,Al Madinah,24.469843,39.553859,Working,2004
87,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Shebeia Pumping Station,Al Madinah,24.410882,39.588209,Working,1995
106,994,Grouped,WATER PUMPING STATION (WPUS),Al-Melilih Pumping Station ,Al Madinah,24.81137,39.164287,Working,2013
107,898,Grouped,WATER PUMPING STATION (WPUS),Souidra Pumping Station,Al Madinah,24.703952,40.090183,Working,2013
120,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Qiyada Lift Station,Al Madinah,24.704167,39.266341,Working,2013
121,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Fareesh Lifting Station,Al Madinah,24.206013,39.27377,Working,2012
122,Standalone,Standalone,WATER PUMPING STATION (WPUS),Al-Laban Lifting Station ,Al Madinah,24.4027421,39.5171089,Working,1986
125,Standalone,Standalone,WATER FILLING STATION (WFLS),Al-Madina Governorate/  Qeba sheeb and  Reservoir(Tank),Al Madinah,24.432402,39.616543,Out of service,1982
126,Standalone,Standalone,WATER FILLING STATION (WFLS),Al-Madina Governorate/ Airport sheeb and Reservoir(Tank),Al Madinah,24.505066,39.659296,Working,2007
127,Standalone,Standalone,WATER FILLING STATION (WFLS),Al-Madina Governorate/  Al-Azizia sheeb Reservoir(Tank),Al Madinah,24.465002,39.51537,CWIP,2021
128,Standalone,Standalone,WATER FILLING STATION (WFLS),Al-Madina Governorate/  Al-Jarf sheeb and Reservoir(Tank),Al Madinah,24.517688,39.547958,Working,2010
130,Standalone,Standalone,WATER FILLING STATION (WFLS),Al-Madina Governorate/  Al-?Ashira sheeb and Reservoir(Tank),Al Madinah,24.048608,39.598319,Working,2019
131,Standalone,Standalone,WATER FILLING STATION (WFLS),Al-Medina Governorate / Sheeb Abyar Al-Mashi,Al Madinah,24.192349,39.570439,Working,2016
132,Standalone,Standalone,WATER FILLING STATION (WFLS),Medina Governorate /  Al Rathaya sheeb and Reservoir(Tank),Al Madinah,24.620154,39.924043,Working,2019
133,Standalone,Standalone,WATER FILLING STATION (WFLS),Medina Governorate / Al-Suwedira  sheeb and Reservoir(Tank),Al Madinah,24.703792,40.090346,Working,2015
134,134,Grouped,WATER FILLING STATION (WFLS),Medina Governorate / Shajwa  sheeb and Reservoir(Tank),Al Madinah,25.008395,38.950408,Working,2014
136,Standalone,Standalone,WATER FILLING STATION (WFLS),Medina Governorate / Al-Melilih sheeb and Reservoir(Tank) ,Al Madinah,24.811862,39.164815,Working,2010
